미국 드라마 감상,,토론 대회,,컬링,,양식조리,,도마뱀키우기,,사물놀이 보기,,탐조,,
영국 드라마감상,,웅변 대회,,스키점프,,태국음식조리,,고슴도치 키우기,,탈춤 보기,,곤충채집,,
프랑스 드라마 감상,,독서,,봅슬레이,,인도음식조리,,앵무새 키우기,,탈춤 공연,,마술,,
다큐 보기,,소설 읽기,,스켈레톤,,프랑스음식조리,,하늘다람쥐 키우기,,왈츠 공연 보기,,손금,,
자연 다큐 보기,,인문/사회/역사책 읽기,,농구경기보기,,집밥만들기,,토끼 키우기,,재즈 음악 감상,,관상,,
동물 다큐 보기,,에세이 읽기,,야구경기보기,,반찬 만들기,,주말농장,,힙합 음악 감상,,사주,,
의학 다큐 보기,,시집 읽기,,축구경기보기,,도시락만들기,,콩나물 키우기,,클래식 음악 감상,,궁합,,
문화 다큐 보기,,종교관련 책 읽기,,UFC 보기,,수제청만들기,,토마토 키우기,,아이돌 음악 감상,,별자리,,
여행 다큐 보기,,과학관련 책 읽기,,경마 보기,,수제차만들기,,난키우기,,대중가요 감상,,혈액형,,
봉사 다큐 보기,,컴퓨터/IT 책 읽기,,스노우보드,,달고나커피 만들기,,텃밭가꾸기,,발라드 감상,,타로카드,,
우주 다큐 보기,,가정/생활 책 읽기,,스키,,흑당버블티 만들기,,다육식물 키우기,,트로트 음악 감상,,부동산 투자,,
역사 다큐 보기,,경영/경제 책 읽기,,서핑,,과일말리기,,버섯 키우기,,버스킹 감상,,주식 투자,,
애니메이션 보기,,자기계발서 읽기,,제트보드,,떡만들기,,선인장키우기,,십자수,,국토순례,,
피부관리,,여행 책 읽기,,스노클링,,젤리만들기,,양봉,,프랑스 자수,,차력,,
패션 스타일링,,건강/다이어트 책 읽기,,다이빙,,보드게임제작,,육아,,보석십자수,,SNS,,
헤어 스타일링,,잡지 읽기,,서핑보드,,게임시나리오,,퍼즐게임,,사진앨범,,아이돌 덕질,,
퍼스널컬러 진단,,만화책 읽기,,제트스키,,3D프린팅,,퍼즐맞추기,,인테리어 하기,,마리모키우기,,
네일아트,,벽화 봉사,,조정,,3D모델링,,수수께끼,,꽃꽂이,,챗봇 제작,,
패디큐어,,보육원 봉사,,수상 스키,,컴퓨터조립,,오목,,드라이플라워,,오지 탐방,,
태닝,,노양원 봉사,,카약,,과학상자,,체스,,디오라마,,뱀키우기,,
왁싱,,고아원 봉사,,파도타기,,레고,,장기,,미니어처,,FPS게임제작,,
문신,,장애인센터 봉사,,레일바이크,,이모티콘제작,,바둑,,스킬자수,,전략게임제작,,
눈썹문신,,정신질환센터 봉사,,패러글라이딩,,커스텀드레스,,방탈출,,편지쓰기,,RPG제작,,
아이라인문신,,미혼모센터 봉사,,스카이 다이빙,,옷 리폼 하기,,추리게임,,가죽공예,,플래시게임제작,,
속눈썹 연장,,가출청소년센터 봉사,,짚라인,,가방 리폼 하기,,보드게임,,목공예,,퍼즐게임제작,,
속눈썹 펌,,독거노인 봉사,,번지점프,,모자 리폼 하기,,웹툰보기,,비즈공예,,시리어스게임제작,,
컷트,,재능기부 봉사,,카트,,신발 리폼 하기,,만화책읽기,,금속공예,,공포게임제작,,
염색,,해외선교 봉사,,레이싱,,상의 리폼 하기,,만화방,,레진공예,,쯔꾸르게임제작,,
펌,,해외의료 봉사,,양궁,,하의 리폼 하기,,노래방,,은공예,,육성게임제작,,
성형,,국내선교 봉사,,국궁,,겉옷 리폼 하기 ,,멀티방,,왁스공예,,힐링게임제작,,
시술,,국내의료 봉사,,필드골프,,커스텀 슈즈,,DVD방,,라탄공예,,스크래치컬러링,,
마사지,,다이어리 적기,,스크린 골프,,작곡,,피시방,,석고공예,,냅킨아트공예,,
전신 마사지,,일기쓰기,,캠핑,,트로트 음악 작곡,,오락실,,비누공예,,업사이클링공예,,
타이 마사지,,가계부 쓰기,,드라이브,,재즈 음악 작곡,,VR 게임,,한지공예,,꽃잎말리기,,
경락 마사지,,성경공부,,산책,,힙합 음악 작곡,,DDR,,매듭공예,,튤립축제,,
발 마사지,,성경 읽기,,명상,,클래식 음악 작곡,,닌텐도 스위치,,초콜릿공예,,갈대제,,
닥터피쉬,,성경 필사,,종이접기,,음악 편곡,,닌텐도 위,,자개공예,,워터 페스티벌,,
아로마 테라피,,청소,,페이퍼커팅,,발라드 작곡,,닌텐도 3ds,,도공,,머드축제,,
언어 공부,,책상 정리,,태국 마사지,,미디 작곡,,닌텐도 2ds,,뜨개질,,장미축제,,
영어 공부,,빨래,,경락 마사지,,영화 제작,,플레이스테이션,,3D펜,,맥주 페스티벌,,
중국어 공부,,먼지 털기,,발 마사지,,영상 편집,,RPG게임,,클레이 만들기,,락 페스티벌,,
일본어 공부,,설거지,,전신 마사지,,소설쓰기,,타자 연습,,화장품 제작,,뷰티풀 민트 라이프,,
스페인어 공부,,크로스핏,,반신욕,,시작,,코딩,,향수제조,,월드 디제이 페스티벌,,
프랑스어 공부,,축구,,낮잠,,동화쓰기,,c언어 배우기,,양초만들기,,그린플러그드 페스티벌,,
독일어 공부,,야구,,독서,,작사,,c++ 배우기,,와인만들기,,엽서 수집,,
태국어 공부,,농구,,오프라인쇼핑,,로맨스 소설 쓰기,,파이썬 배우기,,로봇만들기,,엽서 쓰기,,
아랍어 공부,,배구,,온라인쇼핑,,판타지 소설 쓰기,,자바 배우기,,핸드폰케이스만들기,,마그넷 수집,,
베트남어 공부,,탁구,,해수욕,,추리 소설 쓰기,,코틀린 배우기,,믹싱,,스노우볼 수집,,
한국사 공부,,볼링,,물놀이,,역사 소설 쓰기,,유니티 배우기,,인형옷만들기,,마임 축제,,
세계사 공부,,테니스,,인형뽑기,,무협 소설 쓰기,,언리얼 배우기,,놀이동산,,인삼 축제,,
한자 공부,,배드민턴,,찰흙놀이,,동물 사진 찍기,,해킹 배우기,,식물원,,나비 대축제,,
토익,,클라이밍,,입체퍼즐,,식물 사진 찍기,,머신러닝 배우기,,동물원,,정월 대보름 축제,,
토플,,복싱,,호캉스,,인물 사진 찍기,,소프트웨어 개발,,테마파크,,산천어 축제,,
토익 스피킹,,수영,,인테리어 구경,,건물 사진 찍기,,안드로이드 개발,,양떼목장,,반딧불 축제,,
아이엘츠,,필라테스,,별 보기,,풍경 사진 찍기,,ios 개발,,말목장,,담양 대나무 축제,,
텝스,,승마,,그래피티,,스티커 사진찍기,,가야금,,아쿠아리움,,아리랑 축제,,
자격증 취득,,등산,,일러스트 그리기,,이미지 사진찍기,,해금,,아이스링크,,도자기 축제,,
한국사 자격증 ,,스쿠버 다이빙,,웹툰그리기,,필름카메라,,태평소,,스키장,,단오제,,
일본어 자격증(JLPT),,실내낚시,,캘리그라피,,여행기 작성,,징,,롤러장,,눈꽃축제,,
